date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2024-06-20,15176.68,116231.29,131407.97,23590.88,7817.08,-0.009673,0.31408,0.160901,0.197513,0.37903
2024-06-21,15176.68,116019.97,131196.65,23590.88,7605.75,-0.001608,0.311967,0.159344,0.194304,0.376123
2024-06-24,15176.68,115114.66,130291.34,23590.88,6700.45,-0.0069,0.302913,0.155575,0.180708,0.36538
2024-06-25,15176.68,116067.02,131243.7,23590.88,7652.81,0.007309,0.312437,0.160025,0.19421,0.377938
2024-06-26,15176.68,115261.44,130438.12,23590.88,6847.23,-0.006138,0.304381,0.161473,0.196676,0.36737
2024-06-27,15176.68,116566.79,131743.47,23590.88,8152.58,0.010007,0.317435,0.163304,0.199765,0.383626
2024-06-28,15176.68,115953.67,131130.35,23590.88,7539.46,-0.004654,0.311303,0.158726,0.193537,0.376059
2024-07-01,15176.68,118206.64,133383.32,23590.88,9792.42,0.017181,0.333833,0.161111,0.200537,0.403076
2024-07-02,15176.68,117764.15,132940.83,23590.88,9349.94,-0.003317,0.329408,0.168925,0.213143,0.396403
2024-07-03,15176.68,118415.26,133591.94,23590.88,10001.04,0.004898,0.335919,0.174142,0.223257,0.404171
2024-07-05,15176.68,119361.7,134538.38,23590.88,10947.48,0.007085,0.345384,0.180912,0.236011,0.415123
2024-07-08,15176.68,119411.23,134587.91,23590.88,10997.02,0.000368,0.345879,0.182275,0.238951,0.415969
2024-07-09,15176.68,117128.09,132304.77,23590.88,8713.87,-0.016964,0.323048,0.183425,0.240022,0.38937
2024-07-10,15176.68,116942.66,132119.34,23590.88,8528.45,-0.001402,0.321193,0.195135,0.252951,0.384475
2024-07-11,15176.68,115885.56,131062.24,23590.88,7471.35,-0.008001,0.310622,0.18483,0.225474,0.372155
2024-07-12,15176.68,116452.64,131629.32,23590.88,8038.43,0.004327,0.316293,0.192304,0.232673,0.378822
2024-07-15,15176.68,116606.21,131782.89,23590.88,8192.0,0.001167,0.317829,0.195582,0.235987,0.38186
